(10.25, [['9', '/', '4', '+', '8']])
(-2, [['3', '-', '8', '+', '3']])
(16, [['6', '*', '3', '-', '2']])
(0.14285714285714285, [['2', '/', '7', '/', '2']])
(8, [['5', '*', '3', '-', '7']])
(8.0, [['9', '/', '9', '*', '8']])
(7.5, [['1', '/', '2', '+', '7']])
(4, [['6', '-', '5', '+', '3']])
(67, [['3', '+', '8', '*', '8']])
(6, [['2', '+', '8', '-', '4']])
(3.142857142857143, [['4', '-', '6', '/', '7']])
(-9, [['5', '-', '5', '-', '9']])
(16, [['8', '+', '8', '*', '1']])
(8, [['2', '*', '1', '+', '6']])
(0.17777777777777776, [['8', '/', '9', '/', '5']])
(7.666666666666667, [['7', '+', '2', '/', '3']])
(9.666666666666666, [['6', '/', '9', '+', '9']])
(6.0, [['6', '*', '4', '/', '4']])
(2.25, [['2', '/', '8', '*', '9']])
(-4, [['4', '-', '9', '+', '1']])
(2.0, [['6', '*', '1', '/', '3']])
(28, [['5', '*', '5', '+', '3']])
(112, [['8', '*', '7', '*', '2']])
(60, [['6', '*', '5', '*', '2']])
(-6.5, [['3', '/', '2', '-', '8']])
(-7.8, [['6', '/', '5', '-', '9']])
(8.875, [['9', '-', '1', '/', '8']])
(1.2857142857142856, [['1', '+', '2', '/', '7']])
(7.0, [['6', '+', '8', '/', '8']])
(8, [['4', '+', '2', '*', '2']])
(0.09722222222222222, [['7', '/', '9', '/', '8']])
(0.05, [['1', '/', '5', '/', '4']])
(57, [['7', '*', '7', '+', '8']])
(42, [['6', '*', '8', '-', '6']])
(-10, [['4', '-', '5', '-', '9']])
(20, [['4', '+', '8', '+', '8']])
(6.4, [['8', '-', '8', '/', '5']])
(-8, [['1', '-', '4', '-', '5']])
(-47, [['9', '-', '8', '*', '7']])
(0.0, [['3', '-', '9', '/', '3']])
(5.0, [['6', '*', '5', '/', '6']])
(-12, [['6', '-', '9', '*', '2']])
(19, [['4', '+', '5', '*', '3']])
(6.5, [['7', '-', '3', '/', '6']])
(13, [['4', '*', '2', '+', '5']])
(324, [['6', '*', '6', '*', '9']])
(-47, [['7', '-', '9', '*', '6']])
(2.5, [['3', '/', '6', '*', '5']])
(1.1666666666666667, [['7', '/', '6', '*', '1']])
(1.7142857142857142, [['6', '*', '2', '/', '7']])
(17, [['7', '+', '2', '+', '8']])
(5.25, [['3', '*', '7', '/', '4']])
(2, [['3', '*', '3', '-', '7']])
(65, [['9', '+', '8', '*', '7']])
(3.2, [['2', '*', '8', '/', '5']])
(-7, [['5', '-', '5', '-', '7']])
(7, [['2', '*', '6', '-', '5']])
(64.0, [['8', '*', '8', '/', '1']])
(-1, [['1', '-', '8', '+', '6']])
(-1, [['2', '-', '8', '+', '5']])
(4, [['6', '+', '3', '-', '5']])
(74, [['8', '*', '9', '+', '2']])
(-0.33333333333333326, [['1', '-', '8', '/', '6']])
(35, [['8', '*', '5', '-', '5']])
(2, [['1', '+', '8', '-', '7']])
(16.2, [['9', '/', '5', '*', '9']])
(7.0, [['8', '-', '4', '/', '4']])
(-2.6666666666666665, [['2', '/', '6', '-', '3']])
(-5.25, [['7', '/', '4', '-', '7']])
(0, [['8', '-', '3', '-', '5']])
(-5.5, [['2', '/', '4', '-', '6']])
(4.0, [['7', '*', '4', '/', '7']])
(2, [['3', '*', '3', '-', '7']])
(5, [['1', '*', '6', '-', '1']])
(10, [['7', '-', '1', '+', '4']])
(14, [['8', '+', '8', '-', '2']])
(5.714285714285714, [['7', '-', '9', '/', '7']])
(23, [['2', '*', '8', '+', '7']])
(37, [['5', '*', '8', '-', '3']])
(23, [['3', '*', '5', '+', '8']])
(-5.0, [['4', '-', '9', '/', '1']])
(-19, [['8', '-', '3', '*', '9']])
(-7, [['7', '-', '7', '*', '2']])
(11, [['7', '+', '2', '*', '2']])
(4, [['6', '+', '7', '-', '9']])
(6.571428571428571, [['4', '/', '7', '+', '6']])
(87, [['6', '+', '9', '*', '9']])
(20, [['7', '*', '3', '-', '1']])
(4.5, [['4', '*', '9', '/', '8']])
(23, [['9', '+', '9', '+', '5']])
(26, [['7', '*', '5', '-', '9']])
(0.09523809523809523, [['6', '/', '7', '/', '9']])
(48, [['6', '*', '7', '+', '6']])
(-1.7142857142857142, [['9', '/', '7', '-', '3']])
(7.285714285714286, [['9', '/', '7', '+', '6']])
(19, [['7', '+', '6', '+', '6']])
(5.142857142857143, [['6', '-', '6', '/', '7']])
(13, [['5', '+', '4', '*', '2']])
(-0.16666666666666674, [['1', '-', '7', '/', '6']])
(3, [['6', '-', '2', '-', '1']])
(-7, [['1', '-', '2', '*', '4']])
(7.0, [['7', '*', '3', '/', '3']])
(-5, [['7', '-', '5', '-', '7']])
(71, [['9', '*', '7', '+', '8']])
(2, [['5', '+', '4', '-', '7']])
(31, [['7', '+', '3', '*', '8']])
(1.0, [['5', '/', '5', '/', '1']])
(15, [['8', '*', '1', '+', '7']])
(8, [['5', '-', '3', '+', '6']])
(2.5, [['3', '-', '4', '/', '8']])
(16, [['9', '+', '2', '+', '5']])
(1.375, [['2', '-', '5', '/', '8']])
(9, [['3', '+', '1', '*', '6']])
(11.0, [['6', '/', '2', '+', '8']])
(12, [['9', '-', '2', '+', '5']])
(-6, [['8', '-', '9', '-', '5']])
(7, [['1', '*', '3', '+', '4']])
(-7, [['9', '-', '9', '-', '7']])
(-6, [['6', '-', '6', '-', '6']])
(-7.875, [['1', '/', '8', '-', '8']])
(5.0, [['2', '/', '2', '*', '5']])
(0.047619047619047616, [['2', '/', '6', '/', '7']])
(8.166666666666666, [['7', '*', '7', '/', '6']])
(28, [['7', '*', '3', '+', '7']])
(-2.875, [['9', '/', '8', '-', '4']])
(7.333333333333333, [['2', '/', '6', '+', '7']])
(32, [['2', '*', '2', '*', '8']])
(315, [['9', '*', '7', '*', '5']])
(270, [['6', '*', '5', '*', '9']])
(-0.6666666666666667, [['3', '/', '9', '-', '1']])
(19, [['7', '*', '2', '+', '5']])
(2.4285714285714284, [['2', '+', '3', '/', '7']])
(19, [['7', '+', '3', '+', '9']])
(-65, [['7', '-', '8', '*', '9']])
(0.16326530612244897, [['8', '/', '7', '/', '7']])
(4.714285714285714, [['5', '/', '7', '+', '4']])
(1, [['2', '+', '1', '-', '2']])
(4.333333333333333, [['4', '/', '3', '+', '3']])
(0.2222222222222222, [['1', '-', '7', '/', '9']])
(105, [['7', '*', '3', '*', '5']])
(8.0, [['7', '+', '7', '/', '7']])
(4, [['5', '-', '4', '+', '3']])
(16, [['6', '*', '4', '-', '8']])
(2, [['4', '-', '7', '+', '5']])
(-2.25, [['6', '/', '8', '-', '3']])
(-7.888888888888889, [['1', '/', '9', '-', '8']])
(0.7142857142857143, [['1', '-', '2', '/', '7']])
(140, [['4', '*', '5', '*', '7']])
(-6.333333333333333, [['4', '/', '6', '-', '7']])
(-5, [['4', '-', '9', '*', '1']])
(4.4, [['2', '/', '5', '+', '4']])
(-1, [['1', '*', '3', '-', '4']])
(6.285714285714286, [['9', '/', '7', '+', '5']])
(-1, [['3', '-', '6', '+', '2']])
(2, [['5', '-', '5', '+', '2']])
(9, [['3', '*', '5', '-', '6']])
(0.14285714285714285, [['3', '/', '3', '/', '7']])
(0.4, [['6', '/', '3', '/', '5']])
(-6, [['7', '-', '6', '-', '7']])
(9, [['2', '+', '3', '+', '4']])
(-8, [['2', '-', '9', '-', '1']])
(-3, [['9', '-', '3', '*', '4']])
(57, [['9', '+', '8', '*', '6']])
(15, [['8', '+', '1', '*', '7']])
(1.0, [['7', '*', '1', '/', '7']])
(51, [['9', '+', '7', '*', '6']])
(1, [['3', '-', '2', '*', '1']])
(100, [['4', '*', '5', '*', '5']])
(8.333333333333334, [['8', '+', '3', '/', '9']])
(0.0925925925925926, [['5', '/', '9', '/', '6']])
(84, [['6', '*', '2', '*', '7']])
(4.0, [['2', '*', '6', '/', '3']])
(0.15, [['3', '/', '5', '/', '4']])
(50, [['8', '+', '7', '*', '6']])
(2.142857142857143, [['1', '+', '8', '/', '7']])
(-8, [['4', '-', '9', '-', '3']])
(0.10714285714285714, [['6', '/', '7', '/', '8']])
(4.875, [['7', '/', '8', '+', '4']])
(49, [['7', '+', '7', '*', '6']])
(26, [['4', '*', '6', '+', '2']])
(15, [['8', '*', '1', '+', '7']])
(2.888888888888889, [['8', '/', '9', '+', '2']])
(20, [['8', '*', '2', '+', '4']])
(10.166666666666666, [['7', '/', '6', '+', '9']])
(6.0, [['5', '+', '6', '/', '6']])
(16, [['3', '*', '3', '+', '7']])
(0, [['9', '-', '4', '-', '5']])
(-8, [['6', '-', '2', '*', '7']])
(70, [['2', '*', '5', '*', '7']])
(49, [['7', '*', '1', '*', '7']])
(7.777777777777778, [['7', '+', '7', '/', '9']])
(13, [['6', '*', '1', '+', '7']])
(6.857142857142858, [['8', '-', '8', '/', '7']])
(16, [['5', '+', '2', '+', '9']])
(60, [['6', '+', '6', '*', '9']])
(37, [['2', '+', '7', '*', '5']])
(53, [['5', '+', '6', '*', '8']])
(55, [['7', '*', '7', '+', '6']])
(17.5, [['5', '*', '7', '/', '2']])
(39, [['9', '+', '6', '*', '5']])
