('Jatropha curcas', ['indented', 'ovate', 'rough'])
('Punica granatum', ['entire', 'elliptical', 'smooth'])
('Mangifera indica', ['entire', 'lanceolate', 'glossy'])
('Mangifera indica', ['entire', 'lanceolate', 'smooth'])
('Syzygium cumini', ['undulate', 'ovate', 'glossy'])
('Jatropha curcas', ['indented', 'ovate', 'rough'])
('Jatropha curcas', ['indented', 'ovate', 'rough'])
('Syzygium cumini', ['undulate', 'ovate', 'glossy'])
('Mangifera indica', ['entire', 'lanceolate', 'leathery'])
('Ocimum basilicum', ['serrate', 'ovate', 'rough'])
('Psidium guajava', ['entire', 'obovate', 'leathery'])
('Citrus limon', ['entire', 'elliptical', 'glossy'])
('Syzygium cumini', ['entire', 'oblong', 'smooth'])
('Punica granatum', ['entire', 'elliptical', 'smooth'])
('Citrus limon', ['serrulate', 'ovate', 'rough'])
('Platanus orientalis', ['lobed', 'ovate', 'smooth'])
('Pongamia Pinnata', ['entire', 'ovate', 'smooth'])
('Ocimum basilicum', ['serrate', 'ovate', 'rough'])
('Punica granatum', ['entire', 'elliptical', 'smooth'])
('Punica granatum', ['entire', 'elliptical', 'smooth'])
('Pongamia Pinnata', ['entire', 'ovate', 'leathery'])
('Citrus limon', ['entire', 'elliptical', 'glossy'])
('Pongamia Pinnata', ['entire', 'ovate', 'glossy'])
('Mangifera indica', ['entire', 'lanceolate', 'smooth'])
('Syzygium cumini', ['undulate', 'ovate', 'smooth'])
('Punica granatum', ['entire', 'elliptical', 'smooth'])
('Syzygium cumini', ['undulate', 'ovate', 'smooth'])
('Citrus limon', ['serrulate', 'ovate', 'smooth'])
('Syzygium cumini', ['undulate', 'ovate', 'smooth'])
('Ocimum basilicum', ['serrate', 'ovate', 'rough'])
('Platanus orientalis', ['lobed', 'ovate', 'rough'])
('Mangifera indica', ['entire', 'lanceolate', 'smooth'])
('Syzygium cumini', ['undulate', 'ovate', 'glossy'])
('Jatropha curcas', ['indented', 'ovate', 'rough'])
('Pongamia Pinnata', ['entire', 'ovate', 'smooth'])
('Mangifera indica', ['undulate', 'lanceolate', 'leathery'])
('Ocimum basilicum', ['serrate', 'ovate', 'smooth'])
('Jatropha curcas', ['indented', 'ovate', 'rough'])
('Punica granatum', ['entire', 'elliptical', 'smooth'])
('Citrus limon', ['serrulate', 'ovate', 'glossy'])
('Platanus orientalis', ['lobed', 'lanceolate', 'rough'])
('Jatropha curcas', ['indented', 'ovate', 'rough'])
('Pongamia Pinnata', ['entire', 'ovate', 'glossy'])
('Jatropha curcas', ['indented', 'ovate', 'rough'])
('Mangifera indica', ['undulate', 'lanceolate', 'leathery'])
('Pongamia Pinnata', ['entire', 'ovate', 'glossy'])
('Pongamia Pinnata', ['entire', 'ovate', 'leathery'])
('Mangifera indica', ['entire', 'lanceolate', 'smooth'])
('Pongamia Pinnata', ['entire', 'ovate', 'smooth'])
('Jatropha curcas', ['indented', 'ovate', 'smooth'])
('Jatropha curcas', ['indented', 'ovate', 'rough'])
('Mangifera indica', ['entire', 'lanceolate', 'smooth'])
('Citrus limon', ['serrulate', 'ovate', 'glossy'])
('Citrus limon', ['serrulate', 'ovate', 'rough'])
('Citrus limon', ['entire', 'elliptical', 'glossy'])
('Alstonia Scholaris', ['entire', 'elliptical', 'leathery'])
('Mangifera indica', ['entire', 'lanceolate', 'leathery'])
('Jatropha curcas', ['indented', 'ovate', 'rough'])
('Citrus limon', ['entire', 'elliptical', 'glossy'])
('Mangifera indica', ['undulate', 'lanceolate', 'leathery'])
('Mangifera indica', ['undulate', 'lanceolate', 'leathery'])
('Psidium guajava', ['entire', 'obovate', 'glossy'])
('Pongamia Pinnata', ['entire', 'ovate', 'glossy'])
('Punica granatum', ['entire', 'elliptical', 'smooth'])
('Jatropha curcas', ['indented', 'ovate', 'rough'])
('Citrus limon', ['serrulate', 'ovate', 'rough'])
('Citrus limon', ['serrulate', 'ovate', 'smooth'])
('Citrus limon', ['serrulate', 'ovate', 'rough'])
('Ocimum basilicum', ['serrate', 'obovate', 'rough'])
('Syzygium cumini', ['entire', 'oblong', 'leathery'])
('Pongamia Pinnata', ['entire', 'ovate', 'glossy'])
('Pongamia Pinnata', ['entire', 'ovate', 'glossy'])
('Mangifera indica', ['undulate', 'lanceolate', 'leathery'])
('Platanus orientalis', ['lobed', 'lanceolate', 'rough'])
('Mangifera indica', ['entire', 'lanceolate', 'smooth'])
('Pongamia Pinnata', ['entire', 'ovate', 'glossy'])
('Psidium guajava', ['entire', 'obovate', 'glossy'])
('Mangifera indica', ['entire', 'lanceolate', 'leathery'])
('Jatropha curcas', ['indented', 'ovate', 'rough'])
('Pongamia Pinnata', ['entire', 'ovate', 'glossy'])
('Citrus limon', ['serrulate', 'obovate', 'glossy'])
('Alstonia Scholaris', ['entire', 'elliptical', 'leathery'])
('Citrus limon', ['serrulate', 'ovate', 'smooth'])
('Mangifera indica', ['entire', 'lanceolate', 'glossy'])
('Mangifera indica', ['entire', 'lanceolate', 'leathery'])
('Citrus limon', ['entire', 'elliptical', 'glossy'])
('Psidium guajava', ['entire', 'obovate', 'glossy'])
('Pongamia Pinnata', ['entire', 'ovate', 'glossy'])
('Mangifera indica', ['entire', 'lanceolate', 'smooth'])
('Mangifera indica', ['undulate', 'lanceolate', 'leathery'])
('Syzygium cumini', ['undulate', 'oblong', 'rough'])
('Pongamia Pinnata', ['entire', 'ovate', 'smooth'])
('Jatropha curcas', ['indented', 'ovate', 'rough'])
('Citrus limon', ['serrulate', 'elliptical', 'rough'])
('Mangifera indica', ['entire', 'lanceolate', 'leathery'])
('Platanus orientalis', ['lobed', 'ovate', 'rough'])
('Punica granatum', ['entire', 'elliptical', 'smooth'])
('Mangifera indica', ['entire', 'lanceolate', 'glossy'])
('Citrus limon', ['serrulate', 'elliptical', 'rough'])
('Ocimum basilicum', ['serrate', 'ovate', 'rough'])
('Citrus limon', ['entire', 'elliptical', 'glossy'])
('Pongamia Pinnata', ['entire', 'ovate', 'glossy'])
('Mangifera indica', ['undulate', 'lanceolate', 'leathery'])
