(22, [3, 6, 9, 3, 1])
(15, [1, 0, 7, 7, 0])
(17, [4, 2, 1, 8, 2])
(23, [6, 5, 2, 3, 7])
(18, [6, 6, 3, 2, 1])
(31, [4, 7, 3, 9, 8])
(12, [0, 7, 4, 0, 1])
(27, [7, 2, 6, 9, 3])
(29, [7, 8, 4, 3, 7])
(12, [4, 2, 4, 0, 2])
(16, [0, 2, 7, 4, 3])
(29, [4, 7, 9, 3, 6])
(15, [1, 4, 4, 6, 0])
(25, [4, 7, 1, 9, 4])
(23, [2, 8, 3, 8, 2])
(13, [2, 7, 1, 2, 1])
(19, [5, 4, 5, 1, 4])
(21, [6, 7, 1, 2, 5])
(12, [4, 2, 5, 0, 1])
(25, [7, 2, 0, 8, 8])
(22, [8, 4, 7, 1, 2])
(19, [1, 7, 3, 2, 6])
(22, [2, 8, 4, 1, 7])
(15, [3, 2, 7, 1, 2])
(18, [4, 7, 1, 2, 4])
(23, [1, 9, 7, 5, 1])
(26, [6, 0, 5, 7, 8])
(18, [3, 2, 3, 9, 1])
(11, [4, 0, 2, 2, 3])
(20, [7, 3, 2, 7, 1])
(30, [7, 6, 2, 7, 8])
(16, [4, 1, 8, 2, 1])
(13, [0, 5, 4, 3, 1])
(30, [4, 4, 7, 9, 6])
(34, [8, 7, 3, 9, 7])
(20, [2, 7, 9, 1, 1])
(23, [5, 7, 1, 3, 7])
(30, [9, 6, 6, 5, 4])
(20, [7, 1, 9, 2, 1])
(26, [9, 3, 4, 4, 6])
(23, [4, 4, 1, 9, 5])
(12, [1, 2, 1, 5, 3])
(32, [6, 6, 5, 7, 8])
(19, [4, 6, 0, 6, 3])
(22, [1, 7, 7, 4, 3])
(28, [9, 6, 5, 3, 5])
(17, [1, 7, 4, 2, 3])
(15, [5, 4, 1, 1, 4])
(26, [3, 8, 0, 9, 6])
(21, [2, 1, 6, 8, 4])
(25, [8, 5, 1, 7, 4])
(20, [0, 8, 4, 6, 2])
(10, [1, 2, 2, 3, 2])
(22, [0, 8, 4, 9, 1])
(16, [1, 7, 3, 4, 1])
(29, [5, 4, 7, 6, 7])
(29, [9, 9, 5, 5, 1])
(19, [8, 3, 4, 4, 0])
(12, [3, 6, 1, 1, 1])
(32, [2, 9, 7, 5, 9])
(19, [8, 0, 3, 7, 1])
(26, [1, 9, 7, 5, 4])
(23, [2, 9, 1, 4, 7])
(27, [4, 1, 7, 6, 9])
(17, [4, 5, 1, 1, 6])
(26, [5, 6, 6, 6, 3])
(22, [3, 0, 1, 9, 9])
(15, [3, 2, 6, 1, 3])
(25, [7, 2, 8, 2, 6])
(27, [1, 8, 4, 5, 9])
(13, [1, 1, 4, 4, 3])
(20, [3, 3, 2, 3, 9])
(27, [8, 3, 3, 6, 7])
(18, [3, 1, 3, 6, 5])
(15, [5, 0, 4, 0, 6])
(28, [6, 6, 4, 9, 3])
(7, [0, 0, 2, 3, 2])
(19, [7, 0, 2, 9, 1])
(12, [1, 0, 1, 6, 4])
(32, [7, 9, 4, 4, 8])
(24, [5, 8, 6, 3, 2])
(29, [3, 3, 8, 8, 7])
(31, [2, 9, 5, 8, 7])
(12, [2, 3, 1, 5, 1])
(27, [5, 4, 6, 8, 4])
(7, [3, 0, 0, 3, 1])
(16, [0, 6, 9, 0, 1])
(14, [4, 0, 0, 2, 8])
(26, [6, 9, 1, 3, 7])
(22, [2, 6, 7, 1, 6])
(19, [0, 3, 6, 5, 5])
(25, [6, 3, 5, 5, 6])
(17, [5, 4, 0, 6, 2])
(20, [0, 6, 5, 6, 3])
(13, [2, 0, 2, 8, 1])
(19, [3, 2, 2, 9, 3])
(34, [2, 8, 8, 8, 8])
(30, [9, 8, 2, 2, 9])
(30, [8, 8, 2, 7, 5])
(26, [9, 0, 9, 8, 0])
(17, [1, 5, 3, 8, 0])
(16, [5, 1, 3, 3, 4])
(26, [4, 1, 9, 5, 7])
(14, [7, 2, 1, 0, 4])
(32, [8, 9, 6, 1, 8])
(35, [7, 7, 6, 8, 7])
(21, [4, 1, 2, 5, 9])
(34, [9, 7, 9, 3, 6])
(16, [1, 1, 2, 4, 8])
(23, [3, 4, 5, 2, 9])
(10, [1, 0, 5, 1, 3])
(13, [3, 0, 4, 4, 2])
(27, [5, 9, 4, 7, 2])
(26, [4, 9, 1, 4, 8])
(17, [4, 6, 4, 3, 0])
(23, [8, 8, 3, 3, 1])
(18, [4, 4, 4, 4, 2])
(19, [7, 4, 0, 3, 5])
(27, [1, 7, 3, 9, 7])
(24, [6, 0, 5, 4, 9])
(23, [7, 3, 2, 4, 7])
(26, [2, 8, 6, 1, 9])
(28, [8, 9, 7, 1, 3])
(36, [8, 5, 7, 7, 9])
(20, [3, 9, 5, 2, 1])
(19, [0, 3, 3, 7, 6])
(28, [5, 9, 7, 3, 4])
(19, [8, 0, 3, 7, 1])
(16, [6, 0, 7, 2, 1])
(15, [2, 3, 9, 0, 1])
(16, [3, 1, 3, 2, 7])
(26, [5, 9, 1, 3, 8])
(17, [4, 2, 9, 2, 0])
(23, [7, 8, 6, 0, 2])
(17, [2, 4, 1, 5, 5])
(22, [3, 5, 5, 2, 7])
(19, [3, 8, 3, 1, 4])
(17, [1, 2, 6, 8, 0])
(22, [3, 2, 0, 8, 9])
(19, [0, 4, 1, 9, 5])
(29, [3, 8, 0, 9, 9])
(28, [7, 7, 2, 6, 6])
(25, [7, 1, 8, 1, 8])
(18, [2, 6, 4, 1, 5])
(14, [4, 2, 0, 7, 1])
(29, [1, 4, 9, 6, 9])
(33, [6, 8, 6, 8, 5])
(30, [7, 3, 5, 9, 6])
(30, [4, 5, 9, 3, 9])
(15, [0, 3, 8, 3, 1])
(22, [4, 0, 9, 1, 8])
(17, [3, 5, 2, 2, 5])
(21, [4, 7, 3, 6, 1])
(11, [1, 1, 0, 9, 0])
(27, [6, 7, 7, 4, 3])
(18, [1, 8, 1, 8, 0])
(32, [5, 6, 8, 9, 4])
(11, [1, 8, 0, 2, 0])
(18, [4, 7, 2, 3, 2])
(24, [6, 7, 3, 1, 7])
(19, [5, 4, 4, 3, 3])
(30, [1, 7, 4, 9, 9])
(18, [5, 6, 0, 3, 4])
(25, [2, 1, 7, 9, 6])
(21, [2, 7, 3, 5, 4])
(18, [7, 4, 4, 3, 0])
(25, [4, 6, 5, 4, 6])
(22, [5, 5, 4, 0, 8])
(16, [0, 9, 3, 1, 3])
(18, [1, 4, 6, 2, 5])
(13, [1, 8, 2, 0, 2])
(27, [8, 9, 4, 0, 6])
(35, [7, 7, 5, 7, 9])
(20, [5, 2, 5, 4, 4])
(25, [9, 3, 3, 3, 7])
(14, [4, 2, 0, 6, 2])
(24, [6, 9, 1, 4, 4])
(19, [4, 6, 2, 2, 5])
(19, [1, 6, 2, 1, 9])
(27, [9, 0, 5, 8, 5])
(18, [7, 1, 4, 2, 4])
(13, [4, 5, 0, 3, 1])
(28, [6, 7, 6, 6, 3])
(25, [6, 0, 8, 2, 9])
(31, [7, 5, 6, 4, 9])
(16, [3, 1, 6, 4, 2])
(14, [6, 2, 4, 2, 0])
(15, [1, 0, 7, 7, 0])
(5, [0, 0, 3, 0, 2])
(18, [1, 5, 5, 6, 1])
(33, [9, 8, 3, 7, 6])
(17, [1, 8, 5, 0, 3])
(20, [9, 2, 1, 4, 4])
(16, [5, 1, 2, 4, 4])
(20, [3, 2, 6, 5, 4])
(28, [3, 9, 2, 8, 6])
(26, [7, 8, 9, 1, 1])
(22, [7, 0, 6, 5, 4])
(18, [9, 2, 2, 4, 1])
(31, [6, 6, 9, 2, 8])
